Character Name,Character Type,Pick Rate,Win Rate
Doctor Strange,Vanguard,34.02%,51.87%
Mantis,Strategist,27.03%,53.34%
Luna Snow,Strategist,21.61%,50.28%
Magneto,Vanguard,20.38%,49.40%
Cloak&Dagger,Strategist,15.93%,43.18%
Rocket Raccoon,Strategist,14.62%,51.84%
Psylocke,Duelist,13.55%,51.92%
Groot,Vanguard,13.02%,49.17%
The Punisher,Duelist,12.52%,47.30%
Namor,Duelist,10.39%,49.13%
Winter Soldier,Duelist,10.27%,45.21%
Hulk,Vanguard,10.22%,54.17%
Star-Lord,Duelist,9.13%,51.00%
Loki,Strategist,8.77%,51.03%
Adam Warlock,Strategist,8.09%,53.42%
Peni Parker,Vanguard,7.85%,50.09%
Thor,Vanguard,7.69%,49.59%
Iron Man,Duelist,6.69%,52.70%
Hela,Duelist,6.31%,51.26%
Black Panther,Duelist,5.76%,52.34%
Magik,Duelist,4.93%,54.15%
Moon Knight,Duelist,4.59%,42.99%
Venom,Vanguard,4.56%,45.29%
Wolverine,Duelist,4.48%,52.16%
Jeff the Land Shark,Strategist,3.94%,44.21%
Hawkeye,Duelist,3.60%,49.89%
Spider- Man,Duelist,2.47%,49.13%
Captain America,Vanguard,2.27%,47.98%
Iron Fist,Duelist,1.60%,54.00%
Squirrel Girl,Duelist,1.27%,41.57%
Storm,Duelist,0.94%,50.37%
Black Widow,Duelist,0.80%,39.41%
Scarlet Witch,Duelist,0.69%,43.02%
